,id,products
0,1,93605440;93606188;93606292;93606294;93606295;93606296;93606317;93606318;93606320;93606321;93606324;93606325;93606327;93606328;93606338;93606388;93606394;93606406;93606446;93606453;93606454;93606459;93606460;93606461;93606472;93606473;93606474;93606479;93606480;93606484;93606486;93606491;93606500;93606501;93606511;93606512;93606541;93606542;93606599;93606606;93606858;93607044;93607045;93607053;93607223;93607224;93606699;93607225;93607226;93607227;93607228;93607229;93607231;93607232;93607233;93607234;93607235;93607236;93607237;93607238;93607239;93607240;93607245;93607246;93607247;93607248;93600693;93600704;93600705;93605459;93607258;93607260;93607261;93607262;93607263;93607291;93607303;93607307;93607367;93607368;93607369;93607370;93607384;93607404;93607447;93607448;93607486;93607514;93607515;93607552;93607554;93607557;93607560;93607561;93607562;93607564;93607565;93607566;93607569;93607570;93607571;93607572;93607573;93607574;93607577;93607578;93607579;93607587;93607559;93607764;93607767;93605970;93607797;93607798;93607799;93607800;93607801;93607802;93607803;93607804;93607807;93607870;93607873;93607876;93607895;93607896;93607910;93607911;93607912;93607913;93607914;93607915;93607916;93607918;93607919;93607920;93607921;93607922;93607923;93607924;93607925;93607926;93607953;93607963;93607964;93607965;93607966;93607967;93607969;93607970;93607971;93607972;93607984;93607991;93608034;93608035;93608036;93608055;93608063;93608065;93608066;93608067;93608068;93608069;93608072;93608073;93608077;93608078;93608079;93608080;93608081;93608082;93608083;93608085;93608093;93608100;93608102;93608106;93608110;93608111;93608112;93608113;93608115;93608117;93608118;93608119;93608120;93608123;93608130;93608135;93608136;93608139;93608141;93608148;93608249;93608250;93608251;93608253;93608255;93608256;93608259;93608260;93608261;93608262;93608263;93608264;93608266;93608268;93608269;93608270;93608271;93608272;93608273;93608275;93608276;93608277;93608278;93608280;93608281;93608282;93608284;93608286;93608289;93608290;93608294;93608295;93608296;93608297;93608298;93608299;93608300;93608301;93608302;93608303;93608304;93608305;93608306;93608307;93608308;93608309;93608327;93608076;93608352;93610173;93610175;93610176;93610178;93610179;93610180;93610181;93610182;93610183;93610184;93610185;93610186;93610187;93610188;93610189;93610428;93609333;93609109;93608558;93610466;93610467;93610473;93610474;93610479;93610480;93610481;93610482;93610483;93610484;93610485;93610486;93610487;93610488;93610494;93610498;93610499;93610500;93610501;93610502;93610503;93610504;93610505;93610506;93610507;93610508;93610509;93610510;93610511;93610512;93610513;93610514;93610515;93609057;93610516;93610517;93610518;93610519;93610520;93610521;93610522;93610523;93610524;93610525;93610526;93610527;93610528;93610529;93610535;93610538;93611032;93611033;93611034;93611035;93611043;93611048
1,6,
2,7,93606347;93606392;93606420;93606421;93606441;93606443;93606852;93606862;93606867;93606978;93607213;93607271;93607281;93607323;93607340;93607988;93607990;93607502;93608113;93608170;93608184;93608227;93608228;93608229;93608230;93608249;93608287;93608315;93608314;93608313;93608310;93609022;93609239;93609872;93608380;93608381;93608379;93608563;93608099;93610473;93610474;93610475;93610476;93610479;93610480;93610481;93610482;93610483;93610484;93610485;93610486;93610487;93610488;93610497;93610948;93610949;93610950;93610951;93610952;93610953;93610954;93610976;93610758;93610993;93600651;93608451
3,9,2525271;2525272;2525274;2525277;2525280;2525283;2525284;2525285;2525287;2525294;2525295;2525296;2525297;2525299;2525300;2525302;2525303;2525304;2525305;2525306;2525307;2525308;2525310;2525311;2525312;2525313;2525289;2525290;2525291;2525292;2525317;2525318;2525321;2525322;93600314;93600317;93600318;93600319;93600320;93600321;93604519;93604523;93600355;93604891;93605270;93605468;93605469;93605470;93605471;93605472;93605473;93605474;93605507;93605537;93605968;93606045;93606082;93606084;93606087;93606088;93606090;93606093;93606094;93606096;93606097;93606098;93606244;93605975;93606083;93606246;93606277;93606291;93606290;93605970;93606292;93606294;93606296;93606317;93606318;93606319;93606320;93606321;93606325;93606326;93606327;93606328;93606337;93606338;93606339;93606388;93606454;93606459;93606460;93606465;93606472;93606473;93606474;93606475;93606480;93606484;93606486;93606491;93606500;93606501;93606511;93606541;93606542;93606570;93606669;93606711;93606712;93600084;93606025;93606954;93606955;93606957;93606958;93606959;93606960;93606961;93606964;93606968;93606684;93606969;93606687;93606972;93606973;93606974;93606975;93606976;93606977;93606979;93606982;93606983;93606984;93606985;93606986;93606987;93606988;93606990;93607012;93607029;93607036;93607037;93607038;93607040;93607207;93605459;93607258;93607260;93607261;93607262;93607263;93607352;93607385;93607386;93607387;93607388;93607389;93607390;93607394;93607395;93607396;93607397;93607398;93607400;93607401;93607402;93607405;93607406;93607407;93607408;93607409;93607410;93607411;93607412;93607413;93607414;93607421;93607422;93607423;93607426;93607427;93607429;93607432;93607446;93607447;93607448;93607458;93607459;93607460;93607461;93607462;93607464;93607466;93607472;93607473;93607480;93607490;93607585;93607586;93607588;93607601;93607602;93607603;93607604;93607605;93607606;93607607;93607610;93607611;93607614;93607619;93607626;93607627;93607628;93607629;93607630;93607631;93607632;93607633;93607634;93607635;93607636;93607637;93607638;93607639;93607640;93607641;93607642;93607643;93607644;93607645;93607646;93607647;93607648;93607649;93607650;93607651;93607652;93607653;93607654;93607655;93607656;93607657;93607658;93607659;93607660;93607661;93607662;93607663;93607664;93607665;93607666;93607667;93607668;93607669;93607670;93607671;93607672;93607673;93607674;93607675;93607676;93607677;93607678;93607679;93607680;93607681;93607682;93607683;93607684;93607685;93607686;93607687;93607688;93607689;93607690;93607691;93607692;93607693;93607694;93607695;93607696;93607697;93607698;93607699;93607701;93607702;93607703;93607704;93607707;93607708;93607709;93607710;93607711;93607712;93607713;93607714;93607553;93607576;93607558;93607575;93607568;93607563;93607715;93607716;93607717;93607718;93607719;93607721;93607723;93607724;93607725;93607726;93607727;93607728;93607729;93607730;93607731;93607732;93607733;93607738;93607755;93607753;93607754;93607756;93607757;93607764;93607765;93607766;93607767;93607768;93607816;93607817;93607818;93607819;93607820;93607821;93607822;93607823;93607824;93607830;93607831;93607832;93607833;93607834;93608045;93608046;93608047;93608048;93608049;93608050;93608052;93608054;93608055;93608056;93608057;93608058;93608059;93608060;93608061;93608070;93608071;93608073;93608074;93608076;93608079;93608080;93608081;93608082;93608085;93608086;93608101;93608104;93608108;93608109;93608116;93608337;93608338;93608339;93608340;93608348;93608364;93608365;93610407;93610408;93610214;93610215;93610218;93610219;93610221;93610222;93610223;93610226;93610228;93610229;93610231;93610233;93610253;93610258;93608877;93608710;93608709;93610428;93608691;93609333;93609109;93609018;93608558;93610466;93610538;93611038;93611039;93611040;93608894;93610898;93610897
4,10000,93600005;93600006;93600009;93600010
5,10001,93600011;93600012;93600013;93600014;93600015
6,10002,93600018;93600019;93600020;93600021;93600022
7,10003,93600029;93600030;93600031;93600032
8,10004,93600016;93600017
9,10005,
