id,fan_value,neuroticism,agreeableness,extraversion,conscientiousness,openness,personality,values_h,needs,interests,ach,ben,con,dir,hed,pow,sec,sti,tra,uni,cha,clo,cur,est,exc,exp,har,ide,lib,lov,pra,str
1,1,70,30,20,25,80,openness,benevolence,love,politics|industry and energy|motor|comic|art and culture|feeding|environment|animals and pets|leisure and entertainment|tv and radio,9,1,6,4,9,6,4,6,2,2,6,12,11,6,2,2,8,4,5,1,10,9
2,2,70,10,1,3,2,neuroticism,benevolence,curiosity,"health, hygiene and welfare|feeding|politics|animals and pets|financial, banks and economy|medium viral|insurance|ngos and causes|home and housing|environment",9,1,4,3,6,10,6,6,4,1,6,12,1,11,6,3,10,6,5,6,2,3
3,1,20,10,96,15,70,extraversion,benevolence,practicality,"politics|art and culture|feeding|industry and energy|tv and radio|electronics and computers|health, hygiene and welfare|philosophy|financial, banks and economy|medium viral",6,1,5,6,2,9,6,9,4,2,10,12,7,9,6,5,2,8,2,2,1,10
4,1,90,99,96,70,1,agreeableness,benevolence,stability,"financial, banks and economy|internet and telecommunications|leisure and entertainment|media|ngos and causes|tv and radio|social networks|health, hygiene and welfare|books|electronics and computers",6,1,5,7,8,8,3,8,4,1,10,12,10,1,4,6,2,6,4,9,8,2
5,0,5,10,30,1,97,openness,security,stability,"ngos and causes|sports|leisure and entertainment|health, hygiene and welfare|philosophy|politics|professional services|social groups|music|childish",9,3,6,2,6,10,1,8,3,3,4,12,8,1,6,1,8,11,4,8,1,7
6,1,20,2,65,55,20,extraversion,benevolence,excitement,"politics|financial, banks and economy|health, hygiene and welfare|feeding|philosophy|environment|electronics and computers|social networks|industry and energy|home and housing",2,1,7,2,7,7,2,7,6,5,9,12,5,5,1,1,3,10,3,10,5,8
7,1,80,35,1,5,10,neuroticism,universalism,self-expresion,"politics|leisure and entertainment|feeding|health, hygiene and welfare|social networks|art and culture|industry and energy|comic|philosophy|animals and pets",8,3,5,2,6,8,4,8,6,1,8,12,5,9,5,1,2,9,5,9,4,2
8,0,1,20,99,55,1,extraversion,benevolence,excitement,motor|shopping|insurance|art and culture|picture|social networks|woman|comic|artworks|feeding,7,1,1,6,1,7,7,7,1,1,10,12,8,10,1,3,7,3,2,8,3,6
9,1,96,1,1,90,15,neuroticism,achievement,harmony,"art and culture|tv and radio|leisure and entertainment|social networks|health, hygiene and welfare|politics|music|feeding|drinks without alcohol|philosophy",1,3,8,1,3,10,3,6,9,6,8,12,9,6,6,4,1,3,11,2,9,4
10,0,90,65,60,10,85,neuroticism,self-direction,excitement,"financial, banks and economy|feeding|environment|electronics and computers|industry and energy|fashion|philosophy|insurance|art and culture|internet and telecommunications",4,7,10,1,5,7,5,2,7,2,4,12,7,10,1,1,6,10,1,5,8,8
11,1,5,30,1,98,1,conscientiousness,benevolence,curiosity,,9,1,6,3,4,9,5,8,6,1,10,12,1,11,1,9,6,6,3,6,4,4
12,1,85,75,50,1,1,neuroticism,benevolence,excitement,,9,1,8,3,3,10,6,5,7,2,10,12,8,11,1,7,3,5,8,5,1,3
13,1,65,50,60,10,20,neuroticism,benevolence,love,sports|animals and pets|politics|internet and telecommunications|tv and radio|motor|ngos and causes|travels|leisure and entertainment|feeding,9,1,6,4,7,9,5,8,3,1,7,12,7,11,2,5,6,9,2,1,2,9
14,1,55,25,5,5,15,neuroticism,benevolence,curiosity,"social networks|insurance|motor|home and housing|industry and energy|medium viral|politics|ngos and causes|feeding|health, hygiene and welfare",6,1,5,7,8,10,3,9,3,1,2,12,1,10,7,5,6,7,10,9,2,2
15,1,60,5,15,3,85,openness,benevolence,harmony,"health, hygiene and welfare|feeding|politics|social networks|tv and radio|picture|woman|social groups|leisure and entertainment|motor",8,1,10,1,7,8,4,6,4,1,11,12,8,9,5,7,1,2,5,4,9,3
16,1,97,10,30,10,2,neuroticism,conformity,stability,"politics|fashion|industry and energy|art and culture|financial, banks and economy|feeding|military|philosophy|organizations|medium viral",8,2,1,8,7,6,2,10,4,5,9,12,8,1,4,1,3,9,5,9,5,5
17,1,55,25,2,30,10,neuroticism,benevolence,self-expresion,"health, hygiene and welfare|politics|art and culture|philosophy|social groups|feeding|financial, banks and economy|home and housing|religion|fashion",9,1,6,3,3,9,6,6,5,1,10,12,5,11,6,1,2,7,2,9,7,2
18,0,97,85,3,85,96,neuroticism,security,self-expresion,,7,8,6,5,4,10,1,9,3,1,3,12,8,7,11,1,4,9,9,4,6,1
19,0,97,96,80,3,95,neuroticism,self-direction,challenge,childish|video game|ngos and causes|politics|animals and pets|education|alcoholic drinks|military|art and culture|comic,4,2,9,1,4,9,7,4,8,2,1,12,7,9,3,5,9,5,1,3,11,8
20,1,5,1,5,3,20,openness,benevolence,structure,"tv and radio|art and culture|politics|philosophy|leisure and entertainment|health, hygiene and welfare|comic|feeding|industry and energy|theater and musical films",9,1,3,5,7,10,6,7,4,1,4,12,4,11,9,2,9,2,4,4,8,1
22,1,5,20,80,45,5,extraversion,benevolence,excitement,sports|media|professional services|art and culture|video game|tv and radio|politics|travels|insurance|internet and telecommunications,9,1,7,3,8,9,5,4,5,2,7,12,11,7,1,3,6,5,4,1,7,7
23,0,1,96,15,20,98,openness,universalism,challenge,"politics|beauty|art and culture|social networks|medium viral|home and housing|feeding|health, hygiene and welfare|travels|tv and radio",5,3,2,5,7,10,7,9,4,1,1,12,11,1,3,3,3,9,8,9,3,7
24,1,70,65,1,5,25,neuroticism,benevolence,curiosity,"ngos and causes|sports|religion|tv and radio|beauty|leisure and entertainment|health, hygiene and welfare|organizations|politics|military",9,1,5,7,6,9,4,8,1,1,8,12,1,11,8,3,6,1,3,6,10,3
25,1,30,96,98,65,2,extraversion,achievement,challenge,,1,5,10,4,1,7,8,1,8,6,1,12,10,7,3,1,6,7,5,3,7,10
26,1,96,3,1,3,40,neuroticism,achievement,self-expresion,"health, hygiene and welfare|feeding|home and housing|tv and radio|insurance|leisure and entertainment|art and culture|politics|social groups|internet and telecommunications",1,1,5,5,7,10,4,9,7,1,8,12,2,10,10,1,3,3,7,3,8,3
27,1,10,85,80,98,50,conscientiousness,benevolence,challenge,"social groups|sports|philosophy|religion|childish|organizations|health, hygiene and welfare|tv and radio|internet and telecommunications|education",4,1,3,8,5,10,5,9,2,5,1,12,10,2,3,3,9,10,3,8,3,7
28,1,97,1,80,1,5,neuroticism,benevolence,liberty,"motor|politics|health, hygiene and welfare|insurance|electronics and computers|feeding|medium viral|travels|philosophy|professional services",8,1,8,1,6,10,4,5,3,7,2,12,2,2,2,11,10,7,1,6,9,8
29,1,10,25,1,20,4,agreeableness,universalism,harmony,"politics|sports|health, hygiene and welfare|feeding|medium viral|philosophy|insurance|social networks|financial, banks and economy|tv and radio",8,2,7,3,3,10,3,8,3,1,10,12,3,6,9,2,1,6,3,3,11,6
30,0,97,1,5,1,1,neuroticism,self-direction,challenge,social networks|tv and radio|music|art and culture|shopping|fashion|weather|comic|military|beauty,7,3,7,1,1,10,4,5,6,7,1,12,11,5,2,2,4,7,8,8,10,5
31,0,75,30,60,5,10,neuroticism,benevolence,structure,,9,1,4,3,5,10,7,8,5,1,11,12,8,6,8,3,2,3,8,6,3,1
32,0,90,1,1,5,99,openness,benevolence,harmony,,9,1,4,4,2,9,7,8,2,4,11,12,5,9,5,7,1,4,7,2,10,3
33,1,85,10,5,1,50,neuroticism,universalism,self-expresion,"politics|insurance|health, hygiene and welfare|picture|animals and pets|feeding|social networks|financial, banks and economy|shopping|leisure and entertainment",8,2,8,6,3,10,3,6,3,1,3,12,4,11,7,1,7,4,2,10,6,7
34,0,1,90,97,65,85,extraversion,universalism,self-expresion,"politics|electronics and computers|tv and radio|art and culture|feeding|home and housing|internet and telecommunications|media|health, hygiene and welfare|religion",9,2,6,2,2,10,6,5,8,1,6,12,6,11,3,1,4,6,1,9,4,10
35,0,80,96,85,5,98,openness,universalism,practicality,"politics|education|health, hygiene and welfare|travels|feeding|alcoholic drinks|home and housing|shopping|art and culture|industry and energy",9,2,3,4,4,10,7,4,8,1,7,12,6,11,5,2,2,8,8,8,1,2
36,1,2,1,35,90,1,conscientiousness,benevolence,excitement,"politics|health, hygiene and welfare|electronics and computers|animals and pets|media|medium viral|feeding|education|social networks|internet and telecommunications",5,1,1,1,5,10,7,8,1,8,8,12,5,8,1,1,6,3,4,7,10,10
37,1,80,75,98,98,50,extraversion,benevolence,practicality,"health, hygiene and welfare|feeding|social networks|industry and energy|weather|animals and pets|politics|art and culture|philosophy|leisure and entertainment",2,1,9,6,2,7,5,4,9,7,4,12,9,11,2,4,9,6,2,6,1,8
38,0,75,30,1,5,3,neuroticism,benevolence,self-expresion,sports|philosophy|video game,6,1,7,3,3,10,7,7,5,2,3,12,3,10,6,1,8,10,8,6,1,3
39,0,97,97,98,1,97,extraversion,security,stability,,6,3,6,5,4,10,1,6,9,2,9,12,11,1,9,8,3,7,4,5,5,1
40,0,20,25,45,90,2,conscientiousness,benevolence,challenge,social networks|music|tv and radio|politics|motor|social groups|art and culture|philosophy|shopping|travels,9,1,1,1,7,9,1,7,1,1,1,12,9,1,1,9,6,9,8,5,4,7
41,1,2,55,96,98,3,conscientiousness,benevolence,excitement,,5,1,4,3,6,10,9,8,6,2,9,12,2,11,1,2,2,7,5,7,5,9
42,2,1,99,90,99,75,conscientiousness,benevolence,curiosity,"ngos and causes|leisure and entertainment|feeding|medium viral|financial, banks and economy|shopping|insurance|home and housing|health, hygiene and welfare|politics",8,1,7,6,4,8,4,10,2,2,10,12,1,7,10,2,7,5,4,7,5,2
