,id,categories,name,price,type,accessories
0,93600693,1;10027;10032;10000039;10000381,CASCO FXRG® PANORAMIC VISION FULL FACE BY HARLEY DAVIDSON,0.000000,simple,
1,93600705,1;10032;10000381,COMMUTER 3/4 HELMET,0.000000,simple,
2,93605086,10009;10000031,KIT DE CARENADO INTERIOR CON EMPAREJAMIENTO DE COLORES,0.000000,simple,
3,93605126,10081;10086,RETROVISORES CON LUZ TESTIGO INTERMITENTE INDICADORA DE GIRO Y LUCES DE MARCHA AUXILIARES*,0.000000,simple,
4,93605165,10006;10007;10008;10009;10010;10117,LUCES ANTINIEBLA MONTADAS EN LA PROTECCIÓN DEL MOTOR,0.000000,simple,
5,93605167,10009;10117,KIT DE ALUMBRADO AUXILIAR PERSONALIZADO,0.000000,simple,
6,93605440,1,SPORTSTER FORTY-EIGHT 1200,8427.272727,simple,
7,93605459,1;9;10029;10034;10036;10040;10000381,PROTECTOR CODOS ANTEBRAZO INTERIOR H-D,26.810000,simple,
8,93605970,1;9;10027;10029;10034;10056,MACHINE BOLT HOODED JACKET,216.450000,simple,
9,93605989,10000038,CLUTCH SUB-ASSEMBLY,0.000000,simple,
10,93605997,10000038,Rele,0.000000,simple,
11,93606188,1;10000038,PRESUPUESTO 9460,85.060000,simple,
12,93606292,1;9;10027;10036;10040;10056,HIDEAWAY MESH JACKET,241.310000,simple,
13,93606294,1;9;10027;10036;10056;10100,HOODED MARLED SWEATER PULLOVER,102.530000,simple,
14,93606295,1;10027;10036;10040;10056,"Women's Signature II Mesh Jacket, White Black",117.980000,simple,
15,93606296,1;9;10027;10036;10056;10100,Plaid Short Sleeve Woven Shirt,79.740000,simple,
16,93606317,1;9;10027;10036;10056;10100,Women's Plaid Long-Sleeve Shirt with Roll Tab Sleeves,79.740000,simple,
17,93606318,1;9;10027;10036;10056;10100,ORNATE SKULL WOVEN SHIRT,85.440000,simple,
18,93606320,1;9;10027;10036;10056;10100,"JKT-BL,STUDDED,BIKER,BLK",170.876033,simple,
19,93606321,1;9;10027;10029;10034;10056;10000381,"JKT-CANV, HOODED, GRY",170.880000,simple,
20,93606324,1,MEN'S TEXTURED SHIRT PREWASHED COTTON DARK GREY,85.438017,simple,
21,93606325,1;9;10027;10029;10034;10056,EXCAM WARRIOR MESH JACKET,209.140000,simple,
22,93606327,1;9;10027;10034;10056;10000040,"Woven Shirt, Hard & Fast Rider Short Sleeve Tee",79.743802,simple,
23,93606328,1;9;10034;10099,SUDADERA HD® MC PULLOVER SLIM FIT,0.000000,simple,
24,93606338,1;9;10027;10029;10034;10056,Wild Vented Reflective Black Functional Jacket,230.586777,simple,
25,93606388,1;9;10029;10034,CHAQUETA  PERFORADA HOMBRE  BAR & SHIELD BLANCA,117.980000,simple,
26,93606394,1;10036;10040,FXRG® SWITCHBACK™ RIDING JACKET,0.000000,simple,
27,93606406,1;10000038,PRESUPUESTO 2023,145.680000,simple,
28,93606446,1;10045,Bandana Skull  Piston Gray,22.780000,simple,
29,93606453,1;10045;10049,COTTON SKULL IVY CAP,0.000000,simple,
30,93606454,1;9;10027;10034;10056,Mens Tuckaway  Jacket,0.000000,simple,
31,93606459,1;9;10027;10036;10056;10000381,"Women's Penumbra Windproof Riding Jacket, Grey",0.000000,simple,
32,93606460,1;9;10036;10040,Hoddie Bandana Accent,0.000000,simple,
33,93606461,1;10036;10040,Chaqueta Vaquera con capucha  Denim,0.000000,simple,
34,93606472,1;9;10029;10034;10000129,CHAQUETA PARCHE MILITAR,0.000010,simple,
35,93606473,1;9;10027;10029;10034;10056;10000129;10000381,OFFSET ZIPPER CHAQUETA DE NYLON,0.000000,simple,
36,93606474,1;9;10034;10000040;10000129,BORN FOR SPEED CAMISETA,0.000000,simple,
